id;edad;sexo;municipio;trabajo_actual;educación;tipo_universidad;tipo_dispositivo_rrss;top1_rrss;top2_rrss;top3_rrss;top4_rrss;top5_rrss;internet_fijo;calidad_internet_fijo;fallas_servicio;internet_fijo_positivo;internet_fijo_negativo;fallo_internet_reestablecimiento;tipo_empresa_internet_fijo;cambio_proveedor_reciente;medida_secundaria_fallo_internet_fijo;pago_internet_dolares;acceso_celular_rrss;calidad_navegacion_movil;navegacion_movil_positivo;navegacion_movil_negativo;fac1_ars;fac2_ars;fac3_ars;area_interperso;area_personal_corporal;fac1_bsq;fac2_bsq;fac3_bsq
124;23;Femenino;Municipio Sucre;Sí;Bachiller;Privada;Celular;TikTok;Instagram;Twitter;Instagram;Facebook;Sí;Buena;Casi nunca;Siempre tengo internet;Hago reclamos y nunca solucionan mis problemas;El mismo día;Pública;No;Dispositivo de Banda Ancha Móvil;No;Sí;Ha mejorado;Los datos nunca se me acaban;No lo considero negativo por ninguna de las opciones anteriores;-0,787171199;0,977237713;1,023498611;1,057764117;0,720757272;-0,717954319;-0,443670136;-0,496410335
125;25;Femenino;Municipio Libertador;Sí;Bachiller;Privada;Celular;TikTok;Facebook;Twitter;Whatsapp;Instagram;Sí;Muy buena;Casi nunca;La navegación es rápida;El servicio es muy caro;El mismo día;Privada;No;Dispositivo de Banda Ancha Móvil;Sí;Sí;Ha mejorado;Navego sin problemas;Otro;3,207605767;1,002492176;-2,121997918;1,464216159;-0,835773018;1,580883551;-1,02763885;0,257764841
126;18;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular;Whatsapp;Instagram;TikTok;Twitter;Facebook;Sí;Regular hacia buena;Casi nunca;El servicio es barato;La navegación es muy lenta;El mismo día;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Navego sin problemas;Los megas son muy caros;-0,165724579;0,380514354;1,517474826;-0,422788737;-0,292810718;-0,099621363;-0,588728714;0,905439726
127;23;Femenino;Municipio Libertador;Sí;Bachiller;Privada;Celular;TikTok;Instagram;Whatsapp;Twitter;Facebook;Sí;Buena;Casi nunca;La navegación es rápida;Otro;El mismo día;Pública;No;Me movilizo a casa de un conocido para usar su internet;No;Sí;Se ha mantenido igual;Navego sin problemas;Los megas siempre se me acaban;-0,999447313;-1,144217901;-0,495194396;-0,276550903;-2,639960777;-0,267195132;-0,206653719;0,997409314
128;20;Masculino;Municipio Baruta;No;Bachiller;Privada;Celular;Instagram;Whatsapp;TikTok;Twitter;Facebook;Sí;Buena;Casi nunca;La navegación es rápida;El servicio es muy caro;El mismo día;Privada;No;Internet satelital;Sí;Sí;Se ha mantenido igual;Los datos nunca se me acaban;Navega muy lento;1,258225608;0,050512118;-0,06729328;1,316458867;0,7728973;-1,28148978;-0,067947536;-0,408734521
129;20;Femenino;Municipio Sucre;No;Bachiller;Privada;Celular;Instagram;Whatsapp;Facebook;Twitter;TikTok;Sí;Buena;Casi nunca;La navegación es rápida;Hago reclamos y nunca solucionan mis problemas;El mismo día;Privada;Sí;Me movilizo a casa de un conocido para usar su internet;Sí;Sí;Se ha mantenido igual;Navego sin problemas;Los megas son muy caros;0,576645459;-0,00412519;-0,679515063;0,113733831;-0,497684266;-0,824962311;-0,097368213;-0,554909556
130;21;Femenino;Municipio Baruta;Sí;Bachiller;Privada;Celular;Facebook;Twitter;TikTok;Twitter;Instagram;Sí;Regular hacia buena;Casi nunca;Nunca se me cae el internet;La navegación es muy lenta;Entre 2 y 4 días;Pública;No;Dispositivo de Banda Ancha Móvil;No;Sí;Ha empeorado;No lo considero positivo por ninguna de las razones anteriores;Navega muy lento;-0,01344051;-0,260082577;0,250781059;-1,097789251;1,200054272;0,11176152;-0,550535527;0,26951007
131;19;Masculino;Municipio Sucre;No;Bachiller;Privada;Celular, Computadora Fija;Whatsapp;Facebook;TikTok;Instagram;Twitter;Sí;Regular hacia buena;Casi nunca;La navegación es rápida;Hago reclamos y nunca solucionan mis problemas;Entre 2 y 4 días;Pública;No;Con datos móviles;No;Sí;Ha empeorado;Navego sin problemas;Los megas siempre se me acaban;1,297489011;0,506370077;-0,551738278;1,544377248;0,209551867;0,574977834;-0,780573968;-0,319346145
132;21;Femenino;Municipio Sucre;Sí;Bachiller;Privada;Celular, Laptop (Portátil);Facebook;Twitter;TikTok;Instagram;Whatsapp;Sí;Muy buena;No;La navegación es rápida;Otro;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Se ha mantenido igual;Los datos nunca se me acaban;No lo considero negativo por ninguna de las opciones anteriores;-0,076775864;1,284821733;0,507301313;1,183834375;0,382529084;-0,92142345;-0,816089947;0,678973857
133;18;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular;Whatsapp;Facebook;Instagram;TikTok;Twitter;Sí;Muy mala;Todos los días;Otro;Hago reclamos y nunca solucionan mis problemas;Entre 1 y 2 días;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Navego sin problemas;Los megas siempre se me acaban;1,889906846;0,282112592;-0,257176657;1,062171787;-0,249330905;-1,207236721;-0,163072112;0,216708178
134;22;Femenino;Municipio Libertador;No;Técnico Superior Universitario (TSU);Privada;Celular;Instagram;Whatsapp;Instagram;Twitter;Instagram;Sí;Regular hacia mala;Todos los días;Otro;Hago reclamos y nunca solucionan mis problemas;El mismo día;Privada;Sí;Con datos móviles;No;Sí;Se ha mantenido igual;No lo considero positivo por ninguna de las razones anteriores;Los megas siempre se me acaban;-2,156332679;0,024632716;0,760398582;-0,024860176;1,070384975;0,270100617;-0,571631759;0,622323558
135;20;Femenino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Instagram;Whatsapp;TikTok;Twitter;Facebook;Sí;Buena;Todos los días;Otro;La navegación es muy lenta;El mismo día;Pública;No;Dispositivo de Banda Ancha Móvil;No;Sí;Ha mejorado;Navego sin problemas;No lo considero negativo por ninguna de las opciones anteriores;-0,21172737;-0,727984509;-0,713294389;0,911433323;0,236201883;-1,082196784;-1,013129558;1,436967678
136;22;Femenino;Municipio Sucre;Sí;Licenciado;Privada;Celular, Laptop (Portátil);Whatsapp;Instagram;Twitter;TikTok;Facebook;Sí;Buena;Casi nunca;El servicio es barato;La señal se cae constantemente;El mismo día;Pública;Sí;Con datos móviles;No;Sí;Se ha mantenido igual;Todo se descarga rápido y sin interrupciones;Los megas son muy caros;-2,339635024;0,8804493;-1,556374458;-0,416165931;0,269962208;0,048796885;-0,422018363;3,384876222
137;19;Masculino;Municipio Libertador;No;Bachiller;Privada;Celular, Computadora Fija;Instagram;Whatsapp;Facebook;Twitter;TikTok;Sí;Buena;Casi nunca;Siempre tengo internet;Hago reclamos y nunca solucionan mis problemas;Entre 2 y 4 días;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Los datos nunca se me acaban;Navega muy lento;2,818278686;1,065141842;1,147353348;1,756206458;-1,072930598;-1,183145056;0,02519839;-0,783578653
138;19;Masculino;Municipio Baruta;No;Bachiller;Privada;Celular;Instagram;TikTok;Whatsapp;Twitter;Facebook;Sí;Buena;Casi nunca;La navegación es rápida;El servicio es muy caro;El mismo día;Privada;No;Internet satelital;Sí;Sí;Ha empeorado;No lo considero positivo por ninguna de las razones anteriores;Navega muy lento;0,750299835;-0,961682292;-0,272075897;-1,692313787;-1,42043665;0,718884653;-0,534767558;0,641633474
139;21;Masculino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Whatsapp;Instagram;Facebook;Twitter;TikTok;Sí;Regular hacia mala;Todos los días;El servicio es barato;Hago reclamos y nunca solucionan mis problemas;Entre 1 y 2 días;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;No lo considero positivo por ninguna de las razones anteriores;Los megas siempre se me acaban;-2,31112392;-1,188674819;-0,143704144;-1,112271898;1,206427275;0,757032389;-0,987371103;-0,335888982
140;24;Femenino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Whatsapp;Instagram;Twitter;TikTok;Facebook;Sí;Regular hacia buena;Casi nunca;Siempre tengo internet;Otro;El mismo día;Privada;Sí;Con datos móviles;No;Sí;Ha empeorado;Otro;Los megas son muy caros;0,047514143;0,566450603;-0,206103641;-2,073854918;0,716123488;0,73962177;-0,742844394;0,512470639
141;19;Masculino;Municipio Sucre;Sí;Bachiller;Privada;Celular;Facebook;Twitter;TikTok;Instagram;Whatsapp;Sí;Muy buena;Casi nunca;Siempre tengo internet;Otro;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Ha mejorado;Todo se descarga rápido y sin interrupciones;Los megas son muy caros;0,086857035;-0,250734242;0,576741767;0,593754358;0,258522373;-1,253191776;0,096460505;-0,860908563
142;19;Masculino;Municipio Sucre;No;Bachiller;Privada;Celular;Instagram;Whatsapp;TikTok;Twitter;Facebook;Sí;Buena;Casi nunca;Siempre tengo internet;Hago reclamos y nunca solucionan mis problemas;Entre 2 y 4 días;Privada;No;Con datos móviles;No;Sí;Se ha mantenido igual;Navego sin problemas;No lo considero negativo por ninguna de las opciones anteriores;0,021450873;1,250615611;-0,146809955;1,517414085;-0,195957249;-1,358016241;0,086063652;-0,696814538
143;21;Femenino;Municipio Libertador;Sí;Bachiller;Privada;Celular;TikTok;Whatsapp;Instagram;Twitter;Facebook;Sí;Mala;Todos los días;Siempre tengo internet;La señal se cae constantemente;El mismo día;Privada;Sí;Con datos móviles;Sí;Sí;Se ha mantenido igual;Todo se descarga rápido y sin interrupciones;Los megas siempre se me acaban;0,968455832;0,332676359;-1,195892315;-0,241495059;1,591804379;-0,168776426;-0,568457393;0,970947519
144;20;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular, Tablet, Computadora Fija, Laptop (Portátil);Instagram;Whatsapp;TikTok;Facebook;Twitter;Sí;Regular hacia buena;Todos los días;Otro;La navegación es muy lenta;El mismo día;Pública;No;Dispositivo de Banda Ancha Móvil;Sí;Sí;Ha empeorado;Siempre tengo señal y datos;Los megas son muy caros;-1,951345374;0,350772379;-0,181010212;1,365887562;-0,032715826;0,733856946;-1,098317568;2,095880811
145;24;Masculino;Municipio Sucre;Sí;Estudios de 4to Nivel (Postgrado);Privada;Celular, Laptop (Portátil);Instagram;TikTok;Whatsapp;Twitter;Facebook;Sí;Muy buena;No;Nunca se me cae el internet;El servicio es muy caro;El mismo día;Privada;Sí;Con datos móviles;Sí;Sí;Ha mejorado;Todo se descarga rápido y sin interrupciones;No lo considero negativo por ninguna de las opciones anteriores;-1,970763394;-1,395608928;0,533192283;0,119047814;1,418827162;-0,456904912;1,757568557;-0,126023247
146;22;Masculino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Twitter;Whatsapp;Instagram;Facebook;TikTok;Sí;Regular hacia buena;Todos los días;Otro;La señal se cae constantemente;El mismo día;Privada;No;Me movilizo a casa de un conocido para usar su internet;Sí;Sí;Ha empeorado;No lo considero positivo por ninguna de las razones anteriores;Nunca tiene señal;2,222406555;-0,281592185;-0,101449511;0,902048804;-0,116981989;0,138015965;-0,155677352;-1,644570516
147;24;Masculino;Municipio Sucre;No;Bachiller;Privada;Celular;Whatsapp;Twitter;Instagram;Facebook;TikTok;Sí;Buena;Casi nunca;Siempre tengo internet;Hago reclamos y nunca solucionan mis problemas;Entre 2 y 4 días;Privada;No;Con datos móviles;No;Sí;Se ha mantenido igual;Siempre tengo señal y datos;Los megas son muy caros;2,77136634;1,513892152;1,720177113;0,955915994;0,945874516;-0,905787241;-0,267412327;-0,48910533
148;23;Masculino;Municipio Sucre;Sí;Bachiller;Privada;Celular;Instagram;Whatsapp;TikTok;Twitter;Facebook;Sí;Regular hacia buena;Todos los días;Siempre tengo internet;Hago reclamos y nunca solucionan mis problemas;Entre 4 días y 1 semana;Privada;No;Con datos móviles;No;Sí;Ha mejorado;Siempre tengo señal y datos;Los megas siempre se me acaban;0,582950023;0,633113961;-0,640635042;0,961827279;-0,273630706;0,111581515;-0,373546008;-0,763662119
149;20;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular;Whatsapp;Instagram;TikTok;Twitter;Facebook;Sí;Regular hacia buena;Casi nunca;Otro;La navegación es muy lenta;Entre 1 y 2 días;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Los datos nunca se me acaban;Los megas son muy caros;1,270533095;0,994020493;-0,311287096;0,499702474;0,658791111;0,387527549;0,640468882;0,665682122
150;19;Femenino;Municipio Libertador;Sí;Bachiller;Privada;Celular, Laptop (Portátil);Twitter;Facebook;Twitter;TikTok;Instagram;Sí;Regular hacia buena;Casi nunca;Otro;La navegación es muy lenta;El mismo día;Pública;No;Con datos móviles;No;Sí;Ha empeorado;No lo considero positivo por ninguna de las razones anteriores;Los megas son muy caros;0,037605443;1,256026512;0,541733478;0,042650001;0,321166949;0,303718441;0,632821169;1,91490369
151;22;Masculino;Municipio Sucre;Sí;Bachiller;Privada;Celular;Instagram;Twitter;Whatsapp;TikTok;Facebook;Sí;Muy buena;Casi nunca;La navegación es rápida;Otro;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Se ha mantenido igual;Los datos nunca se me acaban;No lo considero negativo por ninguna de las opciones anteriores;-1,418019499;-0,48142974;0,745473076;1,316458867;0,7728973;-0,709902153;-0,350736855;-0,090902714
152;21;Femenino;Municipio Sucre;No;Técnico Superior Universitario (TSU);Pública;Celular;Instagram;Facebook;TikTok;Twitter;Facebook;Sí;Mala;Todos los días;El servicio es barato;La señal se cae constantemente;El mismo día;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Siempre tengo señal y datos;Los megas son muy caros;0,705270586;0,699662756;0,51511514;-0,309469251;-1,341573558;-0,995471126;-0,282754742;-0,115992761
153;20;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular;Instagram;Whatsapp;TikTok;Twitter;Facebook;Sí;Regular hacia buena;Casi nunca;Siempre tengo internet;Hago reclamos y nunca solucionan mis problemas;Entre 1 y 2 días;Privada;No;Dispositivo de Banda Ancha Móvil;No;Sí;Se ha mantenido igual;Otro;Otro;-0,575276631;-0,817603259;-0,483715137;-1,282268908;-0,551175717;0,741902136;-0,370220841;3,169823294
154;21;Masculino;Municipio Libertador;Sí;Técnico Superior Universitario (TSU);Privada;Laptop (Portátil);TikTok;Facebook;Twitter;Instagram;Whatsapp;Sí;Muy mala;Todos los días;El servicio es barato;Hago reclamos y nunca solucionan mis problemas;El mismo día;Privada;Sí;Con datos móviles;Sí;Sí;Se ha mantenido igual;No lo considero positivo por ninguna de las razones anteriores;Los megas son muy caros;3,083262196;1,309764443;0,810972772;1,12978465;-1,050738315;-0,187946488;-0,161942349;-1,185094423
155;22;Femenino;Municipio Sucre;Sí;Bachiller;Privada;Celular, Laptop (Portátil);Twitter;Facebook;TikTok;Instagram;Whatsapp;Sí;Muy buena;Casi nunca;La navegación es rápida;El servicio es muy caro;El mismo día;Privada;No;Con datos móviles;No;Sí;Ha mejorado;Otro;Nunca tiene señal;1,366563536;0,467201561;-1,580122979;1,137969181;0,530629606;-0,415215779;-0,72921741;1,599469968
156;20;No binario;Municipio Libertador;No;Bachiller;Privada;Celular, Tablet, Laptop (Portátil);Twitter;Whatsapp;TikTok;Instagram;Facebook;Sí;Muy buena;Casi nunca;El servicio es barato;Hago reclamos y nunca solucionan mis problemas;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Ha empeorado;Los datos nunca se me acaban;Nunca tiene señal;-0,222098507;-0,818813799;-0,804567946;-1,839661983;0,704961627;3,122256303;-0,604201339;-1,896178661
157;18;Masculino;Municipio El Hatillo;No;Bachiller;Privada;Celular;Whatsapp;Instagram;TikTok;Twitter;Whatsapp;Sí;Muy buena;Casi nunca;Nunca se me cae el internet;El servicio es muy caro;El mismo día;Privada;Sí;Internet satelital;Sí;Sí;Se ha mantenido igual;Otro;Otro;1,297912805;0,424228646;0,705992994;1,316458867;0,7728973;-0,408633484;-0,400213872;-0,791152104
158;22;Femenino;Municipio Libertador;Sí;Bachiller;Pública;Celular;Whatsapp;Instagram;TikTok;Twitter;Facebook;Sí;Buena;Casi nunca;Siempre tengo internet;Otro;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Se ha mantenido igual;Otro;Navega muy lento;1,97584559;-0,171018829;-0,13134725;1,340602297;0,170266145;-0,356755891;-0,512864222;-0,214867097
159;25;Masculino;Municipio Sucre;Sí;Bachiller;Privada;Celular, Tablet;Instagram;Whatsapp;Twitter;Facebook;TikTok;Sí;Muy buena;Casi nunca;La navegación es rápida;El servicio es muy caro;Entre 1 y 2 días;Privada;Sí;Dispositivo de Banda Ancha Móvil;Sí;Sí;Ha empeorado;No lo considero positivo por ninguna de las razones anteriores;Los megas siempre se me acaban;-0,006464529;-0,608472878;0,095049641;-1,236987833;-1,20314653;1,635848771;0,481221182;-0,496061766
160;23;Femenino;Municipio Libertador;No;Licenciado;Privada;Celular;Whatsapp;Instagram;Facebook;Twitter;TikTok;Sí;Buena;Casi nunca;La navegación es rápida;Hago reclamos y nunca solucionan mis problemas;El mismo día;Privada;Sí;Con datos móviles;No;Sí;Ha empeorado;Navego sin problemas;Los megas siempre se me acaban;2,706544735;0,834145713;-0,16580242;0,494374118;0,705789655;0,438213332;-0,913259246;0,022757177
161;22;Masculino;Municipio Libertador;Sí;Bachiller;Pública;Celular, Laptop (Portátil);Whatsapp;Twitter;Instagram;Facebook;TikTok;Sí;Muy buena;No;La navegación es rápida;Nunca tengo internet;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Se ha mantenido igual;Los datos nunca se me acaban;No lo considero negativo por ninguna de las opciones anteriores;-1,032478254;-2,206161768;0,575332533;0,193382588;0,707759324;1,185490148;-0,015072539;-2,49284478
162;18;Femenino;Municipio Sucre;No;Bachiller;Privada;Celular;TikTok;Instagram;Whatsapp;Twitter;Facebook;Sí;Buena;Casi nunca;La navegación es rápida;El servicio es muy caro;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Se ha mantenido igual;Navego sin problemas;Los megas siempre se me acaban;-2,286202899;-1,459882717;0,311034176;-0,358255327;-0,736213658;0,607428576;-0,350674544;1,506388516
163;21;Masculino;Municipio Sucre;Sí;Bachiller;Pública;Celular;Whatsapp;TikTok;Instagram;Facebook;Twitter;Sí;Regular hacia buena;Casi nunca;La navegación es rápida;El servicio es muy caro;Entre 2 y 4 días;Privada;Sí;Internet satelital;No;Sí;Se ha mantenido igual;Navego sin problemas;No lo considero negativo por ninguna de las opciones anteriores;-1,720249392;0,489958083;0,103894282;-0,55117539;-0,068863888;-0,825185328;-0,326433731;-0,632154609
164;19;Femenino;Municipio Libertador;Sí;Bachiller;Pública;Celular;TikTok;Whatsapp;Instagram;Facebook;Twitter;No;;;;;;;;;;;;;;-0,978150778;-0,62721988;-0,952229859;0,322425835;0,586085816;1,949075782;-1,368136033;0,059099924
165;22;Femenino;Municipio Libertador;Sí;Bachiller;Privada;Celular, Tablet, Laptop (Portátil);Instagram;Whatsapp;TikTok;Twitter;Facebook;Sí;Regular hacia buena;Casi nunca;El servicio es barato;Otro;El mismo día;Pública;No;Me movilizo a casa de un conocido para usar su internet;No;Sí;Se ha mantenido igual;No lo considero positivo por ninguna de las razones anteriores;Los megas siempre se me acaban;1,16340221;0,693821151;-0,213935632;0,955915994;0,945874516;-0,64749867;-0,440644759;-0,320889346
166;20;Femenino;Municipio Sucre;No;Técnico Superior Universitario (TSU);Privada;Celular, Laptop (Portátil);Instagram;TikTok;Instagram;Twitter;Facebook;Sí;Muy buena;Casi nunca;Nunca se me cae el internet;Otro;El mismo día;Privada;No;Dispositivo de Banda Ancha Móvil;Sí;Sí;Ha mejorado;Los datos nunca se me acaban;No lo considero negativo por ninguna de las opciones anteriores;-0,041144469;0,341667644;0,648028306;0,612980756;-0,895894096;1,075354779;-0,435846044;-0,708273758
167;23;Femenino;Municipio Baruta;No;Bachiller;Privada;Celular, Laptop (Portátil);Instagram;Whatsapp;Twitter;TikTok;Facebook;Sí;Regular hacia buena;Casi nunca;Siempre tengo internet;La señal se cae constantemente;Entre 1 y 2 días;Privada;No;Dispositivo de Banda Ancha Móvil;No;Sí;Se ha mantenido igual;Todo se descarga rápido y sin interrupciones;Los megas siempre se me acaban;-1,402093817;-0,181786748;-0,027193495;-0,339901782;0,28751995;-0,067802423;-0,383422673;-0,180270094
168;21;Masculino;Municipio Sucre;No;Bachiller;Privada;Celular;Whatsapp;Twitter;Instagram;TikTok;Facebook;Sí;Buena;Casi nunca;La navegación es rápida;Otro;El mismo día;Privada;Sí;Con datos móviles;Sí;Sí;Se ha mantenido igual;No lo considero positivo por ninguna de las razones anteriores;Navega muy lento;0,84578611;-0,296927308;0,853187108;-0,830702623;-0,930287684;-1,073975415;0,057205591;-0,82329489
169;24;Femenino;Municipio Libertador;No;Licenciado;Privada;Celular, Laptop (Portátil);Whatsapp;Facebook;Instagram;Twitter;TikTok;Sí;Regular hacia buena;Casi nunca;Siempre tengo internet;Otro;Entre 1 y 2 días;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Navego sin problemas;No lo considero negativo por ninguna de las opciones anteriores;0,767276502;0,974046367;0,813761653;0,652200219;0,729259437;-0,523734429;-0,069133198;-0,565656559
170;21;Masculino;Municipio El Hatillo;Sí;Bachiller;Privada;Celular, Laptop (Portátil);Whatsapp;Instagram;TikTok;Facebook;Twitter;Sí;Regular hacia buena;Casi nunca;El servicio es barato;Otro;El mismo día;Pública;No;Dispositivo de Banda Ancha Móvil;No;Sí;Se ha mantenido igual;Todo se descarga rápido y sin interrupciones;Los megas son muy caros;-0,446932578;-1,319960635;-0,333456316;-0,025981419;0,147097585;-0,316641964;-1,042018318;0,784429517
171;23;Masculino;Municipio Sucre;Sí;Bachiller;Privada;Celular, Computadora Fija;TikTok;Facebook;Instagram;Twitter;Whatsapp;Sí;Regular hacia buena;Casi nunca;La navegación es rápida;Otro;El mismo día;Privada;Sí;Con datos móviles;Sí;Sí;Ha empeorado;Siempre tengo señal y datos;Navega muy lento;0,209696455;0,718629052;-0,225135237;1,316458867;0,7728973;-1,350922327;0,113848149;-0,794355857
172;22;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular;Instagram;Twitter;Whatsapp;Whatsapp;Whatsapp;Sí;Regular hacia mala;Todos los días;Otro;La navegación es muy lenta;Entre 2 semanas y 1 mes;Pública;No;Con datos móviles;No;Sí;Ha empeorado;No lo considero positivo por ninguna de las razones anteriores;Los megas son muy caros;-0,555987357;-0,928840998;-1,11796481;-1,085338014;0,449939908;-0,081857146;0,06133676;0,628168178
173;23;Masculino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Whatsapp;Instagram;Twitter;TikTok;Facebook;Sí;Muy buena;Casi nunca;Siempre atienden mis reclamos;La navegación es muy lenta;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Ha empeorado;Navego sin problemas;Navega muy lento;0,07602518;0,358282121;-0,452975731;0,784818756;-0,37813657;-0,010966073;-1,010822451;0,176605047
174;22;Masculino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Instagram;Instagram;Instagram;Instagram;Instagram;Sí;Muy buena;Casi nunca;Siempre atienden mis reclamos;El servicio es muy caro;Entre 1 y 2 semanas;Pública;Sí;Wifi público;No;Sí;Ha empeorado;Los datos nunca se me acaban;Los megas son muy caros;1,000647188;0,947806006;0,853035371;-0,637529187;-1,630847929;-1,493680496;0,210363813;0,045223601
175;22;Femenino;Municipio Libertador;Sí;Bachiller;Privada;Celular;TikTok;Instagram;Twitter;Whatsapp;Facebook;Sí;Regular hacia mala;Todos los días;El servicio es barato;La navegación es muy lenta;El mismo día;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Todo se descarga rápido y sin interrupciones;Los megas siempre se me acaban;-0,920085726;-0,614173879;0,31231138;-1,535786554;-0,375277249;1,917681509;-1,301430002;-0,534014782
176;23;Masculino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Whatsapp;Instagram;TikTok;Twitter;Facebook;Sí;Buena;Casi nunca;La navegación es rápida;Otro;El mismo día;Privada;Sí;Internet satelital;Sí;Sí;Se ha mantenido igual;Siempre tengo señal y datos;Los megas siempre se me acaban;-1,496741661;-0,69851558;-0,799101847;0,663209933;-1,256469643;-0,753721589;-0,602444341;0,159205623
177;24;Masculino;Municipio Libertador;No;Bachiller;Privada;Celular;Facebook;Facebook;TikTok;Twitter;Whatsapp;Sí;Regular hacia buena;Casi nunca;La navegación es rápida;El servicio es muy caro;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Ha mejorado;Navego sin problemas;Los megas siempre se me acaban;0,276257404;-0,497510162;-0,166853809;-0,346164353;-1,237814117;-0,558682599;-0,436599542;-0,32996395
178;22;Femenino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Whatsapp;Instagram;TikTok;Twitter;Facebook;Sí;Buena;Casi nunca;Otro;El servicio es muy caro;El mismo día;Recibo internet de un conocido;No;Con datos móviles;Sí;Sí;Ha empeorado;Otro;Los megas son muy caros;2,721342305;1,346250276;2,084031254;1,316458867;0,7728973;-0,558185511;1,60811811;-0,170260622
179;21;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular;Instagram;Instagram;TikTok;Twitter;Facebook;Sí;Buena;Casi nunca;Siempre tengo internet;Hago reclamos y nunca solucionan mis problemas;Entre 2 semanas y 1 mes;Privada;Sí;Internet satelital;Sí;Sí;Ha mejorado;Navego sin problemas;Los megas siempre se me acaban;-1,690582729;-0,462998612;0,664057476;0,698105614;-0,196300643;0,383826031;3,413683195;0,263913377
180;22;Femenino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Whatsapp;Instagram;Twitter;TikTok;Facebook;Sí;Muy mala;Todos los días;El servicio es barato;Nunca tengo internet;3 meses o más;Privada;No;Con datos móviles;No;Sí;Ha empeorado;Navego sin problemas;Los megas siempre se me acaban;-3,275455518;-2,539781705;1,192763709;-1,084233529;1,543816852;1,539411638;0,093441749;1,185773951
181;22;Masculino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Facebook;TikTok;TikTok;TikTok;TikTok;Sí;Muy buena;No;Siempre atienden mis reclamos;Hago reclamos y nunca solucionan mis problemas;El mismo día;Pública;Sí;Wifi público;Sí;Sí;Ha mejorado;Los datos nunca se me acaban;Los megas son muy caros;-2,686098037;-1,688241659;-0,372150249;0,974586063;0,694330258;0,577310394;3,600373679;0,201662295
182;19;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular;Facebook;Twitter;Whatsapp;TikTok;Instagram;Sí;Buena;Casi nunca;La navegación es rápida;Hago reclamos y nunca solucionan mis problemas;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Ha mejorado;Los datos nunca se me acaban;Los megas siempre se me acaban;-1,324059928;0,440518176;0,500857667;-1,668097045;-0,175216529;0,963182633;3,058212677;0,975732495
183;19;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular;Whatsapp;Instagram;TikTok;Twitter;Facebook;Sí;Regular hacia buena;Casi nunca;Siempre atienden mis reclamos;Otro;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Se ha mantenido igual;No lo considero positivo por ninguna de las razones anteriores;Navega muy lento;-2,679637821;-0,537348272;-1,174081277;-1,746176796;-0,376960167;2,165896416;-0,94430888;0,690984412
184;18;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular;Whatsapp;Instagram;TikTok;Facebook;Twitter;Sí;Regular hacia buena;Casi nunca;Otro;La navegación es muy lenta;Entre 2 y 4 días;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Navego sin problemas;Los megas son muy caros;0,655790163;0,40002186;0,042859758;-0,008959431;0,514219132;-0,048240875;0,394751477;1,775669042
